condition	solution_type	reaction_id	flux
baseline_unchanged	pfba	bio1	10.545509652968102
baseline_unchanged	pfba	EX_cpd11640_e0	0.0
baseline_unchanged	pfba	EX_cpd00011_e0	0.23
baseline_unchanged	pfba	rxn06874_c0	0.0
baseline_unchanged	pfba	rxn00018_c0	0.0
baseline_unchanged	pfba	rxn01111_c0	0.0
baseline_unchanged	pfba	rxn05759_c0	0.0
baseline_unchanged	pfba	rxn15455_c0	1.22644277264019
acetate_current	pfba	bio1	7.012417318145674
acetate_current	pfba	EX_cpd11640_e0	0.0
acetate_current	pfba	EX_cpd00011_e0	0.23
acetate_current	pfba	rxn06874_c0	0.0
acetate_current	pfba	rxn00018_c0	76.38281507798106
acetate_current	pfba	rxn01111_c0	76.38281507798106
acetate_current	pfba	rxn05759_c0	0.0
acetate_current	pfba	rxn15455_c0	0.8155441341003419
succinate_me	pfba	bio1	7.104909834918734
succinate_me	pfba	EX_cpd11640_e0	0.0
succinate_me	pfba	EX_cpd00011_e0	0.23
succinate_me	pfba	rxn06874_c0	0.0
succinate_me	pfba	rxn00018_c0	83.25063756073543
succinate_me	pfba	rxn01111_c0	83.25063756073543
succinate_me	pfba	rxn05759_c0	0.0
succinate_me	pfba	rxn15455_c0	0.8263010138010489
butyrate_me	pfba	bio1	7.5786734975230505
butyrate_me	pfba	EX_cpd11640_e0	0.0
butyrate_me	pfba	EX_cpd00011_e0	0.23
butyrate_me	pfba	rxn06874_c0	0.0
butyrate_me	pfba	rxn00018_c0	84.83987386542415
butyrate_me	pfba	rxn01111_c0	84.83987386542415
butyrate_me	pfba	rxn05759_c0	0.0
butyrate_me	pfba	rxn15455_c0	0.8813997277619308
fumarate_panel	pfba	bio1	6.922311475211978
fumarate_panel	pfba	EX_cpd11640_e0	0.0
fumarate_panel	pfba	EX_cpd00011_e0	0.23
fumarate_panel	pfba	rxn06874_c0	0.0
fumarate_panel	pfba	rxn00018_c0	76.83700457531862
fumarate_panel	pfba	rxn01111_c0	76.83700457531862
fumarate_panel	pfba	rxn05759_c0	0.0
fumarate_panel	pfba	rxn15455_c0	0.8050648245671531
