model	reaction_id	name	scope	imbalance	reaction
baseline_v1.13	rxn03396_c0	R04989_c0	internal_checkable	{'charge': 2.0}	cpd00005[c0] + cpd00007[c0] + cpd03446[c0] --> cpd00001[c0] + cpd00006[c0] + cpd00067[c0] + cpd03447[c0]
baseline_v1.13	rxn05947_c0	L-proline:(acceptor) oxidoreductase_c0	internal_checkable	{'charge': -1.0, 'H': -3.0, 'N': -1.0, 'R': -1.0}	cpd00129[c0] + cpd11609[c0] <=> cpd02431[c0] + cpd11610[c0]
baseline_v1.13	rxn06061_c0	Spermidine:(acceptor) oxidoreductase	internal_checkable	{'H': -2.0, 'N': -1.0, 'R': -1.0}	cpd00001[c0] + cpd00264[c0] + cpd11609[c0] <=> cpd00434[c0] + cpd00726[c0] + cpd11610[c0]
baseline_v1.13	rxn05927_c0	biotin synthase_c0	internal_checkable	{'charge': -2.0}	2.0 cpd00017[c0] + cpd00074[c0] + cpd01311[c0] --> 2.0 cpd00060[c0] + cpd00104[c0] + 2.0 cpd03091[c0]
baseline_v1.13	rxn06436_c0	L-Glutamate:tRNA(Gln) ligase (AMP-forming)_c0	internal_checkable	{'charge': -3.0, 'C': 10.0, 'H': 14.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}	cpd00002[c0] + cpd00023[c0] + cpd11911[c0] <=> cpd00012[c0] + cpd00018[c0] + cpd12828[c0]
baseline_v1.13	rxn06437_c0	L-Glutamine:tRNA(Gln) ligase (AMP-forming)_c0	internal_checkable	{'charge': -2.0, 'C': 10.0, 'H': 15.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}	cpd00002[c0] + cpd00053[c0] + cpd11911[c0] <=> cpd00012[c0] + cpd00018[c0] + cpd00067[c0] + cpd12060[c0]
baseline_v1.13	rxn11651_c0	benzoyl-CoA:acceptor oxidoreductase_c0	internal_checkable	{'H': 2.0, 'N': 1.0, 'R': 1.0}	cpd01892[c0] + cpd11610[c0] <=> cpd00001[c0] + cpd00401[c0] + cpd11609[c0]
baseline_v1.13	rxn06167_c0	cyclohexa-1,5-diene-1-carbonyl-CoA:ferredoxin oxidoreductase (aromatizing, ATP-forming)_c0	internal_checkable	{'charge': -2.0, 'N': 1.0, 'R': 1.0}	2.0 cpd00001[c0] + 2.0 cpd00002[c0] + cpd00401[c0] + cpd11610[c0] <=> 2.0 cpd00008[c0] + 2.0 cpd00009[c0] + cpd03763[c0] + cpd11609[c0]
baseline_v1.13	rxn06938_c0	glutaryl-CoA:(acceptor) 2,3-oxidoreductase (non-decarboxylating)_c0	internal_checkable	{'H': -2.0, 'N': -1.0, 'R': -1.0}	cpd00413[c0] + cpd11609[c0] --> cpd01599[c0] + cpd11610[c0]
baseline_v1.13	rxn16112_c0	R09252_c0	internal_checkable	{'charge': -2.0}	2.0 cpd00067[c0] + cpd03763[c0] --> cpd06703[c0]
