carbon	n2_boundary	reaction_id	minimum	maximum	fraction_of_optimum
acetate	True	bio1	6.30903158735049	7.010035097056035	0.9
acetate	True	EX_cpd11640_e0	0.0	17.889954545451754	0.9
acetate	True	rxn06874_c0	0.01	2.952646728971084	0.9
acetate	True	rxn05759_c0	-2.9526467289717115	17.87995454545296	0.9
acetate	True	rxn00018_c0	40.99520034082838	186.37565900218684	0.9
acetate	True	rxn01111_c0	40.995200340819366	186.3756590022174	0.9
succinate	True	bio1	6.39227485244617	7.102527613829099	0.9
succinate	True	EX_cpd11640_e0	0.0	18.12599999999853	0.9
succinate	True	rxn06874_c0	0.01	2.991472897196332	0.9
succinate	True	rxn05759_c0	-2.991472897196332	18.116000000000344	0.9
succinate	True	rxn00018_c0	47.39689411860757	194.68894923673506	0.9
succinate	True	rxn01111_c0	47.39689411860757	194.6889492367145	0.9
butyrate	True	bio1	6.8186621487900805	7.576291276433384	0.9
butyrate	True	EX_cpd11640_e0	0.0	19.335068181817256	0.9
butyrate	True	rxn06874_c0	0.01	3.190347663551581	0.9
butyrate	True	rxn05759_c0	-3.1903476635512558	19.325068181815553	0.9
butyrate	True	rxn00018_c0	46.598533564470785	200.37357557987968	0.9
butyrate	True	rxn01111_c0	46.598533564470785	200.37357557987252	0.9
fumarate	True	bio1	6.22793632871	6.9199292541223025	0.9
fumarate	True	EX_cpd11640_e0	0.0	17.66000000000178	0.9
fumarate	True	rxn06874_c0	0.01	2.9148224299068324	0.9
fumarate	True	rxn05759_c0	-2.9148224299068324	17.65000000000288	0.9
fumarate	True	rxn00018_c0	41.90349057346447	185.42167954984743	0.9
fumarate	True	rxn01111_c0	41.903490573463756	185.42167954984907	0.9
