anchor_metabolite_id	anchor_metabolite_name	reaction_id	reaction_name	lower_bound	upper_bound	gpr	reaction
cpd00060[c0]	L-Methionine_c0	rxn00126_c0	ATP:L-methionine S-adenosyltransferase_c0	0.0	1000.0	TX73_RS20810	cpd00001[c0] + cpd00002[c0] + cpd00060[c0] --> cpd00009[c0] + cpd00012[c0] + cpd00017[c0] + cpd00067[c0]
cpd00060[c0]	L-Methionine_c0	rxn00693_c0	5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase_c0	-1000.0	1000.0	TX73_RS19180	cpd00135[c0] + cpd00345[c0] <=> cpd00060[c0] + cpd00087[c0]
cpd00060[c0]	L-Methionine_c0	rxn03052_c0	5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase_c0	-1000.0	1000.0	TX73_RS11255 or TX73_RS12380	cpd00135[c0] + cpd02738[c0] <=> cpd00060[c0] + cpd02555[c0]
cpd00060[c0]	L-Methionine_c0	rxn04704_c0	coproporphyrinogen-III:S-adenosyl-L-methionine oxidoreductase(decarboxylating)_c0	0.0	1000.0	TX73_RS08565	2.0 cpd00017[c0] + cpd02083[c0] --> 2.0 cpd00011[c0] + 2.0 cpd00060[c0] + cpd00791[c0] + 2.0 cpd03091[c0]
cpd00060[c0]	L-Methionine_c0	rxn05219_c0	nonpolar-amino-acid-transporting ATPase_c0	0.0	1000.0	(TX73_RS07320 and TX73_RS07325 and (TX73_RS07330 or TX73_RS07340)) or (TX73_RS12200 and TX73_RS12205)	cpd00001[c0] + cpd00002[c0] + cpd00060[e0] --> cpd00008[c0] + cpd00009[c0] + cpd00060[c0] + cpd00067[c0]
cpd00060[c0]	L-Methionine_c0	rxn05927_c0	biotin synthase_c0	0.0	1000.0	TX73_RS10535	2.0 cpd00017[c0] + cpd00074[c0] + cpd01311[c0] --> 2.0 cpd00060[c0] + cpd00104[c0] + 2.0 cpd03091[c0]
cpd00060[c0]	L-Methionine_c0	rxn06443_c0	L-Methionine:tRNAMet ligase (AMP-forming)_c0	-1000.0	1000.0	TX73_RS14385	cpd00002[c0] + cpd00060[c0] + cpd11918[c0] <=> cpd00012[c0] + cpd00018[c0] + cpd00067[c0] + cpd12105[c0]
cpd00060[c0]	L-Methionine_c0	rxn20643_c0	thiC (gene name)_c0	-1000.0	1000.0	TX73_RS18540	cpd00017[c0] + cpd02140[c0] <=> cpd00047[c0] + cpd00060[c0] + cpd00067[c0] + cpd00204[c0] + cpd02775[c0] + cpd03091[c0]
cpd00135[c0]	Homocysteine_c0	rxn00141_c0	S-Adenosyl-L-homocysteine hydrolase_c0	-1000.0	1000.0	TX73_RS20805	cpd00001[c0] + cpd00019[c0] <=> cpd00135[c0] + cpd00182[c0]
cpd00135[c0]	Homocysteine_c0	rxn00693_c0	5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase_c0	-1000.0	1000.0	TX73_RS19180	cpd00135[c0] + cpd00345[c0] <=> cpd00060[c0] + cpd00087[c0]
