metabolite_id	name	formula	charge	reaction_count	reactions
cpd00013[c0]	NH3_c0	H4N	1	41	biomass_ions_c0;rxn00002_c0;rxn00060_c0;rxn00101_c0;rxn00138_c0;rxn00187_c0;rxn00189_c0;rxn00208_c0;rxn00231_c0;rxn00262_c0;rxn00327_c0;rxn00407_c0;rxn00410_c0;rxn00473_c0;rxn00539_c0;rxn00566_c0;rxn00654_c0;rxn00722_c0;rxn00726_c0;rxn00737_c0;rxn00837_c0;rxn00916_c0;rxn00950_c0;rxn01234_c0;rxn01251_c0;rxn01368_c0;rxn01672_c0;rxn01800_c0;rxn01843_c0;rxn02222_c0;rxn02275_c0;rxn02475_c0;rxn03188_c0;rxn03839_c0;rxn03869_c0;rxn05064_c0;rxn05466_c0;rxn05893_c0;rxn06600_c0;rxn06874_c0;rxn30633_c0
cpd00013[e0]	NH3_e0	H4N	1	2	EX_cpd00013_e0;rxn05466_c0
cpd00023[c0]	L-Glutamate_c0	C5H8NO4	-1	52	biomass_lps_c0;rxn00085_c0;rxn00179_c0;rxn00183_c0;rxn00187_c0;rxn00189_c0;rxn00192_c0;rxn00193_c0;rxn00194_c0;rxn00260_c0;rxn00275_c0;rxn00350_c0;rxn00412_c0;rxn00414_c0;rxn00416_c0;rxn00467_c0;rxn00493_c0;rxn00527_c0;rxn00555_c0;rxn00646_c0;rxn00647_c0;rxn00689_c0;rxn00727_c0;rxn00790_c0;rxn00806_c0;rxn00856_c0;rxn00903_c0;rxn00917_c0;rxn01204_c0;rxn01210_c0;rxn01257_c0;rxn01575_c0;rxn01603_c0;rxn01636_c0;rxn01637_c0;rxn01757_c0;rxn02320_c0;rxn02914_c0;rxn03084_c0;rxn03087_c0;rxn03135_c0;rxn03445_c0;rxn03540_c0;rxn04786_c0;rxn05298_c0;rxn06436_c0;rxn06887_c0;rxn06937_c0;rxn06979_c0;rxn10534_c0;rxn11595_c0;rxn15507_c0
cpd00023[e0]	L-Glutamate_e0	C5H8NO4	-1	2	EX_cpd00023_e0;rxn05298_c0
cpd00053[c0]	L-Glutamine_c0	C5H10N2O3	0	21	biomass_lps_c0;rxn00085_c0;rxn00187_c0;rxn00189_c0;rxn00412_c0;rxn00414_c0;rxn00416_c0;rxn00555_c0;rxn00727_c0;rxn00790_c0;rxn00917_c0;rxn01257_c0;rxn03084_c0;rxn03135_c0;rxn03540_c0;rxn05155_c0;rxn06437_c0;rxn06887_c0;rxn06979_c0;rxn10534_c0;rxn11595_c0
cpd00053[e0]	L-Glutamine_e0	C5H10N2O3	0	2	EX_cpd00053_e0;rxn05155_c0
cpd00073[c0]	Urea_c0	CH4N2O	0	3	rxn00101_c0;rxn00394_c0;rxn00560_c0
cpd00075[c0]	Nitrite_c0	NO2	-1	2	rxn00567_c0;rxn05893_c0
cpd00186[c0]	D-Glutamate_c0	C5H8NO4	-1	3	rxn00193_c0;rxn00849_c0;rxn02008_c0
cpd00209[c0]	Nitrate_c0	NO3	-1	1	rxn05171_c0
cpd00209[e0]	Nitrate_e0	NO3	-1	2	EX_cpd00209_e0;rxn05171_c0
cpd00477[c0]	N-Acetyl-L-glutamate_c0	C7H9NO5	-2	3	rxn00192_c0;rxn01636_c0;rxn01917_c0
cpd00525[c0]	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate_c0	C28H39N5O23P2	-4	2	rxn02008_c0;rxn02011_c0
cpd00528[c0]	N2_c0	N2	0	2	rxn06874_c0;rxn39362_c0
cpd00858[c0]	L-Glutamate5-semialdehyde_c0	C5H9NO3	0	4	rxn00183_c0;rxn00467_c0;rxn02373_c0;rxn02374_c0
cpd02555[c0]	Tetrahydropteroyltri-L-glutamate_c0	C29H33N9O12	-4	1	rxn03052_c0
cpd02738[c0]	5-Methyltetrahydropteroyltri-L-glutamate_c0	C30H35N9O12	-4	1	rxn03052_c0
cpd03524[c0]	10-Formyl-THF-L-glutamate_c0	C25H27N8O10	-3	1	rxn01210_c0
cpd03530[c0]	L-4-Hydroxyglutamatesemialdehyde_c0	C5H9NO4	0	2	rxn03070_c0;rxn30330_c0
cpd06227[c0]	THF-L-glutamate_c0	C29H33N9O12	-4	1	rxn00689_c0
cpd19042[c0]	L-erythro-4-Hydroxyglutamate_c0	C5H8NO5	-1	4	rxn15507_c0;rxn30330_c0;rxn31683_c0;rxn39478_c0
