reaction_id	name	lower_bound	upper_bound	reaction	gpr	is_exchange
biomass_ions_c0	ions biomass pseudo-reaction_c0	0.0	1000.0	0.03186 cpd00013[c0] + 0.008486 cpd00030[c0] + 0.008486 cpd00034[c0] + 0.0106 cpd00048[c0] + 0.008486 cpd00058[c0] + 0.01272 cpd00063[c0] + 0.01272 cpd00099[c0] + 0.008486 cpd00149[c0] + 0.4765 cpd00205[c0] + 0.0212 cpd00254[c0] + 0.01909 cpd10515[c0] + 0.01909 cpd10516[c0] + 0.008487 cpd11574[c0] --> bm_ions[c0]		False
biomass_lps_c0	LPS biomass pseudo-reaction_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + 2.0 cpd00022[c0] + 23.0 cpd00026[c0] + 30.0 cpd00037[c0] + 10.0 cpd00043[c0] + 2.0 cpd00053[c0] + cpd00062[c0] + 23.0 cpd00083[c0] + 2.0 cpd00288[c0] + 25.0 cpd02546[c0] + 11.0 cpd03831[c0] + 2.0 cpd11481[c0] + 4.0 cpd11484[c0] --> 12.0 cpd00008[c0] + 2.0 cpd00010[c0] + cpd00012[c0] + 64.0 cpd00014[c0] + 2.0 cpd00023[c0] + 23.0 cpd00031[c0] + 25.0 cpd00046[c0] + 4.0 cpd00067[c0] + 6.0 cpd11493[c0] + cpd15432[c0]		False
rxn00002_c0	urea-1-carboxylate amidohydrolase_c0	0.0	1000.0	cpd00001[c0] + 3.0 cpd00067[c0] + cpd00742[c0] --> 2.0 cpd00011[c0] + 2.0 cpd00013[c0]	TX73_RS07205 or TX73_RS07530	False
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)_c0	0.0	1000.0	cpd00001[c0] + 4.0 cpd00689[c0] --> 4.0 cpd00013[c0] + cpd00755[c0]	TX73_RS07735	False
rxn00085_c0	L-Glutamate:NADP+ oxidoreductase (transaminating)_c0	-1000.0	1000.0	cpd00006[c0] + 2.0 cpd00023[c0] <=> cpd00005[c0] + cpd00024[c0] + cpd00053[c0] + cpd00067[c0]	TX73_RS04590 and TX73_RS03510	False
rxn00101_c0	Urea amidohydrolase_c0	0.0	1000.0	cpd00001[c0] + 2.0 cpd00067[c0] + cpd00073[c0] --> cpd00011[c0] + 2.0 cpd00013[c0]	TX73_RS18980 and TX73_RS18985 and TX73_RS18970	False
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)_c0	0.0	1000.0	cpd00002[c0] + cpd00013[c0] + cpd00638[c0] --> cpd00003[c0] + cpd00012[c0] + cpd00018[c0] + 2.0 cpd00067[c0]	TX73_RS10235	False
rxn00179_c0	ATP:L-glutamate 5-phosphotransferase_c0	0.0	1000.0	cpd00002[c0] + cpd00023[c0] --> cpd00008[c0] + cpd02097[c0]	TX73_RS00850	False
rxn00183_c0	L-glutamate-5-semialdehyde dehydrogenase_c0	0.0	1000.0	cpd00001[c0] + cpd00003[c0] + cpd00858[c0] --> cpd00004[c0] + cpd00023[c0] + 2.0 cpd00067[c0]	TX73_RS08115	False
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)_c0	0.0	1000.0	cpd00002[c0] + cpd00013[c0] + cpd00023[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00053[c0] + cpd00067[c0]	TX73_RS15390	False
