model	scenario	run_mode	substrate	exchange	expected	exchange_exists	transport_status	growth_flux	background_growth_flux	net_substrate_growth_flux	prediction	pass_fail	diagnosis
baseline_v1.13	photoanaerobic_CO2_open	background_no_test_substrate	none		background_control	False	not_applicable	1.469966071091392	1.469966071091392	0.0	background_control	background_control	Blank/control condition.
baseline_v1.13	photoanaerobic_CO2_open	expected_design	acetate	EX_cpd00029_e0	positive_utilized	True	transport_detected	1.903030807738209	1.469966071091392	0.433064736646817	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_open	expected_design	succinate	EX_cpd00036_e0	positive_utilized	True	transport_detected	2.2549288554929894	1.469966071091392	0.7849627844015974	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_open	expected_design	malate	EX_cpd00130_e0	positive_utilized	True	transport_detected	2.1426027298335963	1.469966071091392	0.6726366587422044	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_open	expected_design	butyrate	EX_cpd00211_e0	positive_utilized	True	transport_detected	2.552627912708449	1.469966071091392	1.082661841617057	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_open	expected_design	p_coumarate	EX_cpd00604_e0	positive_utilized	True	transport_detected	3.628072008714615	1.469966071091392	2.1581059376232234	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_open	expected_design	glucose	EX_cpd00027_e0	negative_nonutilized	False	external_metabolite_missing	1.4699660710913443	1.469966071091392	0.0	no_uptake_missing_exchange	pass_structural_negative	No false positive possible without exchange.
baseline_v1.13	photoanaerobic_CO2_open	expected_design	xylose	EX_cpd00154_e0	negative_nonutilized	False	both_external_and_cytosol_metabolites_missing	1.4699660710913443	1.469966071091392	0.0	no_uptake_missing_exchange	pass_structural_negative	No false positive possible without exchange.
baseline_v1.13	photoanaerobic_CO2_open	expected_design	fructose	EX_cpd00082_e0	negative_nonutilized	True	exchange_or_metabolites_present_but_no_e0_to_c0_transport_detected	1.4699660710913443	1.469966071091392	0.0	background_growth_no_uptake	pass_structural_negative	No substrate-specific growth above background.
baseline_v1.13	photoanaerobic_CO2_open	negative_forced_open_diagnostic	fructose	EX_cpd00082_e0	negative_nonutilized	True	exchange_or_metabolites_present_but_no_e0_to_c0_transport_detected	1.4699660710913443	1.469966071091392	0.0	no_growth_even_if_forced_open	diagnostic_ok	Forced negative uptake diagnostic.
baseline_v1.13	photoanaerobic_CO2_closed	background_no_test_substrate	none		background_control	False	not_applicable	-1.3773788607361005e-13	-1.3773788607361005e-13	0.0	background_control	background_control	Blank/control condition.
baseline_v1.13	photoanaerobic_CO2_closed	expected_design	acetate	EX_cpd00029_e0	positive_utilized	True	transport_detected	0.5376491754544553	-1.3773788607361005e-13	0.5376491754545931	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_closed	expected_design	succinate	EX_cpd00036_e0	positive_utilized	True	transport_detected	1.0752983509093035	-1.3773788607361005e-13	1.0752983509094411	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_closed	expected_design	malate	EX_cpd00130_e0	positive_utilized	True	transport_detected	1.0752983509092402	-1.3773788607361005e-13	1.0752983509093779	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_closed	expected_design	butyrate	EX_cpd00211_e0	positive_utilized	True	transport_detected	1.0752983509110565	-1.3773788607361005e-13	1.0752983509111942	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_closed	expected_design	p_coumarate	EX_cpd00604_e0	positive_utilized	True	transport_detected	2.419421289546465	-1.3773788607361005e-13	2.4194212895466025	growth	pass	Positive substrate increases simulated growth above background.
baseline_v1.13	photoanaerobic_CO2_closed	expected_design	glucose	EX_cpd00027_e0	negative_nonutilized	False	external_metabolite_missing	-1.8930666175295033e-13	-1.3773788607361005e-13	0.0	no_uptake_missing_exchange	pass_structural_negative	No false positive possible without exchange.
baseline_v1.13	photoanaerobic_CO2_closed	expected_design	xylose	EX_cpd00154_e0	negative_nonutilized	False	both_external_and_cytosol_metabolites_missing	-1.8930666175295033e-13	-1.3773788607361005e-13	0.0	no_uptake_missing_exchange	pass_structural_negative	No false positive possible without exchange.
baseline_v1.13	photoanaerobic_CO2_closed	expected_design	fructose	EX_cpd00082_e0	negative_nonutilized	True	exchange_or_metabolites_present_but_no_e0_to_c0_transport_detected	-1.8930666175295033e-13	-1.3773788607361005e-13	0.0	no_growth	pass	Negative substrate does not increase simulated growth.
baseline_v1.13	photoanaerobic_CO2_closed	negative_forced_open_diagnostic	fructose	EX_cpd00082_e0	negative_nonutilized	True	exchange_or_metabolites_present_but_no_e0_to_c0_transport_detected	-1.8930666175295033e-13	-1.3773788607361005e-13	0.0	no_growth_even_if_forced_open	diagnostic_ok	Forced negative uptake diagnostic.
candidate_n2_boundary	photoanaerobic_CO2_open	background_no_test_substrate	none		background_control	False	not_applicable	1.4699660710913398	1.4699660710913398	0.0	background_control	background_control	Blank/control condition.
candidate_n2_boundary	photoanaerobic_CO2_open	expected_design	acetate	EX_cpd00029_e0	positive_utilized	True	transport_detected	1.903030807738265	1.4699660710913398	0.43306473664692513	growth	pass	Positive substrate increases simulated growth above background.
candidate_n2_boundary	photoanaerobic_CO2_open	expected_design	succinate	EX_cpd00036_e0	positive_utilized	True	transport_detected	2.2549288554929903	1.4699660710913398	0.7849627844016505	growth	pass	Positive substrate increases simulated growth above background.
candidate_n2_boundary	photoanaerobic_CO2_open	expected_design	malate	EX_cpd00130_e0	positive_utilized	True	transport_detected	2.142602729833722	1.4699660710913398	0.6726366587423822	growth	pass	Positive substrate increases simulated growth above background.
candidate_n2_boundary	photoanaerobic_CO2_open	expected_design	butyrate	EX_cpd00211_e0	positive_utilized	True	transport_detected	2.55262791270848	1.4699660710913398	1.0826618416171403	growth	pass	Positive substrate increases simulated growth above background.
candidate_n2_boundary	photoanaerobic_CO2_open	expected_design	p_coumarate	EX_cpd00604_e0	positive_utilized	True	transport_detected	3.6280720087147538	1.4699660710913398	2.158105937623414	growth	pass	Positive substrate increases simulated growth above background.
candidate_n2_boundary	photoanaerobic_CO2_open	expected_design	glucose	EX_cpd00027_e0	negative_nonutilized	False	external_metabolite_missing	1.4699660710914777	1.4699660710913398	1.3788969965844444e-13	no_uptake_missing_exchange	pass_structural_negative	No false positive possible without exchange.
candidate_n2_boundary	photoanaerobic_CO2_open	expected_design	xylose	EX_cpd00154_e0	negative_nonutilized	False	both_external_and_cytosol_metabolites_missing	1.4699660710914777	1.4699660710913398	1.3788969965844444e-13	no_uptake_missing_exchange	pass_structural_negative	No false positive possible without exchange.
candidate_n2_boundary	photoanaerobic_CO2_open	expected_design	fructose	EX_cpd00082_e0	negative_nonutilized	True	exchange_or_metabolites_present_but_no_e0_to_c0_transport_detected	1.4699660710914777	1.4699660710913398	1.3788969965844444e-13	background_growth_no_uptake	pass_structural_negative	No substrate-specific growth above background.
candidate_n2_boundary	photoanaerobic_CO2_open	negative_forced_open_diagnostic	fructose	EX_cpd00082_e0	negative_nonutilized	True	exchange_or_metabolites_present_but_no_e0_to_c0_transport_detected	1.4699660710914777	1.4699660710913398	1.3788969965844444e-13	no_growth_even_if_forced_open	diagnostic_ok	Forced negative uptake diagnostic.
