model	module	reaction_id	name	lower_bound	upper_bound	reaction	gpr	is_exchange
v1_13_baseline	ferredoxin	rxn13974_c0	pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)	-1000.0	1000.0	cpd00011[c0] + cpd00022[c0] + cpd00067[c0] + 2.0 cpd11620[c0] <=> cpd00010[c0] + cpd00020[c0] + 2.0 cpd11621[c0]		False
v1_13_baseline	ferredoxin	rxn14048_c0	2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)_c0	-1000.0	1000.0	cpd00011[c0] + cpd00067[c0] + cpd00078[c0] + 2.0 cpd11620[c0] <=> cpd00010[c0] + cpd00024[c0] + 2.0 cpd11621[c0]	TX73_RS06305 and TX73_RS06295 and TX73_RS06290 and TX73_RS06300	False
v1_13_baseline	h2	rxn05759_c0	hydrogen:ferredoxin oxidoreductase_c0	-1000.0	1000.0	2.0 cpd00067[c0] + 2.0 cpd11620[c0] <=> 2.0 cpd11621[c0] + cpd11640[c0]		False
v1_13_baseline	ferredoxin	rxn05759_c0	hydrogen:ferredoxin oxidoreductase_c0	-1000.0	1000.0	2.0 cpd00067[c0] + 2.0 cpd11620[c0] <=> 2.0 cpd11621[c0] + cpd11640[c0]		False
v1_13_baseline	h2	rxn08691_c0	hydrogen transport via diffusion (extracellular to periplasm)_c0	-1000.0	1000.0	cpd11640[c0] <=> cpd11640[e0]		False
v1_13_baseline	cbb_rubisco	rxn01103_c0	3-Phospho-D-glyceroyl phosphate phosphohydrolase_c0	0.0	1000.0	cpd00001[c0] + cpd00203[c0] --> cpd00009[c0] + cpd00067[c0] + cpd00169[c0]	TX73_RS16410	False
v1_13_baseline	cbb_rubisco	rxn01100_c0	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	-1000.0	1000.0	cpd00002[c0] + cpd00169[c0] <=> cpd00008[c0] + cpd00203[c0]	TX73_RS04860	False
v1_13_baseline	cbb_rubisco	rxn01106_c0	2-Phospho-D-glycerate 2,3-phosphomutase_c0	-1000.0	1000.0	cpd00482[c0] <=> cpd00169[c0]	TX73_RS01765	False
v1_13_baseline	cbb_rubisco	rxn01116_c0	D-Ribulose-5-phosphate 3-epimerase_c0	-1000.0	1000.0	cpd00171[c0] <=> cpd00198[c0]	TX73_RS19755	False
v1_13_baseline	phb	rxn05329_c0	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase_c0	-1000.0	1000.0	cpd11478[c0] <=> cpd00001[c0] + cpd11465[c0]	TX73_RS10415 or TX73_RS15090	False
v1_13_baseline	phb	rxn05339_c0	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase_c0	-1000.0	1000.0	cpd00005[c0] + cpd00067[c0] + cpd11488[c0] <=> cpd00006[c0] + cpd11478[c0]	TX73_RS15900	False
v1_13_baseline	h2	rxn03951_c0	NAD-dependent threonine 4-phosphate dehydrogenase_c0	-1000.0	1000.0	cpd00003[c0] + cpd03607[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd04539[c0]	TX73_RS15855	False
v1_13_baseline	h2	rxn04139_c0	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone ,NADPH2:oxygen oxidoreductase_c0	0.0	1000.0	cpd00005[c0] + cpd00007[c0] + cpd00067[c0] + cpd03448[c0] --> cpd00001[c0] + cpd00006[c0] + cpd03449[c0]	TX73_RS01410	False
