condition	solution_type	reaction_id	flux
acetate_baseline_bound	pfba	bio1	0.0
acetate_baseline_bound	pfba	EX_cpd11640_e0	0.0
acetate_baseline_bound	pfba	EX_cpd00011_e0	0.0
acetate_baseline_bound	pfba	rxn06874_c0	0.0
acetate_baseline_bound	pfba	rxn00018_c0	0.0
acetate_baseline_bound	pfba	rxn01111_c0	0.0
acetate_baseline_bound	pfba	rxn05759_c0	0.0
acetate_baseline_bound	pfba	rxn15455_c0	0.0
succinate_me_uptake	pfba	bio1	0.0
succinate_me_uptake	pfba	EX_cpd11640_e0	0.0
succinate_me_uptake	pfba	EX_cpd00011_e0	0.0
succinate_me_uptake	pfba	rxn06874_c0	0.0
succinate_me_uptake	pfba	rxn00018_c0	0.0
succinate_me_uptake	pfba	rxn01111_c0	0.0
succinate_me_uptake	pfba	rxn05759_c0	0.0
succinate_me_uptake	pfba	rxn15455_c0	0.0
butyrate_me_uptake	pfba	bio1	0.0
butyrate_me_uptake	pfba	EX_cpd11640_e0	0.0
butyrate_me_uptake	pfba	EX_cpd00011_e0	0.0
butyrate_me_uptake	pfba	rxn06874_c0	0.0
butyrate_me_uptake	pfba	rxn00018_c0	0.0
butyrate_me_uptake	pfba	rxn01111_c0	0.0
butyrate_me_uptake	pfba	rxn05759_c0	0.0
butyrate_me_uptake	pfba	rxn15455_c0	0.0
fumarate_h2_panel	pfba	bio1	0.0
fumarate_h2_panel	pfba	EX_cpd11640_e0	0.0
fumarate_h2_panel	pfba	EX_cpd00011_e0	0.0
fumarate_h2_panel	pfba	rxn06874_c0	0.0
fumarate_h2_panel	pfba	rxn00018_c0	0.0
fumarate_h2_panel	pfba	rxn01111_c0	0.0
fumarate_h2_panel	pfba	rxn05759_c0	0.0
fumarate_h2_panel	pfba	rxn15455_c0	0.0
