condition	reaction_id	minimum	maximum	fraction_of_optimum
acetate_baseline_bound	bio1	0.0	0.0	0.9
acetate_baseline_bound	EX_cpd11640_e0	0.0	78.39241666666811	0.9
acetate_baseline_bound	EX_cpd00011_e0	0.0	0.23	0.9
acetate_baseline_bound	rxn06874_c0	0.0	0.0	0.9
acetate_baseline_bound	rxn00018_c0	0.0	509.1500000000005	0.9
acetate_baseline_bound	rxn01111_c0	0.0	509.15000000000003	0.9
acetate_baseline_bound	rxn05759_c0	0.0	78.39241666666679	0.9
acetate_baseline_bound	rxn15455_c0	0.0	0.0	0.9
succinate_me_uptake	bio1	0.0	0.0	0.9
succinate_me_uptake	EX_cpd11640_e0	0.0	81.29691666667031	0.9
succinate_me_uptake	EX_cpd00011_e0	0.0	0.23	0.9
succinate_me_uptake	rxn06874_c0	0.0	0.0	0.9
succinate_me_uptake	rxn00018_c0	0.0	509.7612499999998	0.9
succinate_me_uptake	rxn01111_c0	0.0	509.76125	0.9
succinate_me_uptake	rxn05759_c0	0.0	81.29691666666524	0.9
succinate_me_uptake	rxn15455_c0	0.0	0.0	0.9
butyrate_me_uptake	bio1	0.0	0.0	0.9
butyrate_me_uptake	EX_cpd11640_e0	0.0	91.13858333333609	0.9
butyrate_me_uptake	EX_cpd00011_e0	0.0	0.23	0.9
butyrate_me_uptake	rxn06874_c0	0.0	0.0	0.9
butyrate_me_uptake	rxn00018_c0	0.0	509.1500000000005	0.9
butyrate_me_uptake	rxn01111_c0	0.0	509.15000000000003	0.9
butyrate_me_uptake	rxn05759_c0	0.0	91.13858333333714	0.9
butyrate_me_uptake	rxn15455_c0	0.0	0.0	0.9
fumarate_h2_panel	bio1	0.0	0.0	0.9
fumarate_h2_panel	EX_cpd11640_e0	0.0	76.63691666667637	0.9
fumarate_h2_panel	EX_cpd00011_e0	0.0	0.23	0.9
fumarate_h2_panel	rxn06874_c0	0.0	0.0	0.9
fumarate_h2_panel	rxn00018_c0	0.0	509.76125	0.9
fumarate_h2_panel	rxn01111_c0	0.0	509.7612499999995	0.9
fumarate_h2_panel	rxn05759_c0	0.0	76.63691666666804	0.9
fumarate_h2_panel	rxn15455_c0	0.0	0.0	0.9
